time,latitude,longitude,depth,phase,x,y,z,bx,by,P
2026-07-25 06:27:00,56.34586235559385,19.30676639537449,40.5,descending,64331.50078460708,24626.721470917404,0.0,0.0,0.0,"[[763341.3219660802, -2881.8617189502347, 367.62581262512316, -2.6812201055858145], [-2881.8617189502365, 745753.9682637175, 1.4851283866537375, 363.84387687354723], [367.62581262512316, 1.4851283866537375, 0.23760000000000034, 0.0], [-2.6812201055858145, 363.84387687354723, 0.0, 0.23760000000000034]]"
2026-07-25 06:28:00,56.345865518186855,19.306768272430368,42.0,descending,64331.616920137676,24627.072518740682,0.0,0.0,0.0,"[[808963.6251072079, -2959.5072472868223, 381.97777489910544, -2.735225217743447], [-2959.507247286824, 790476.0194299751, 1.5353094839894748, 378.09150993471576], [381.97777489910544, 1.5353094839894748, 0.24176666666666702, 0.0], [-2.735225217743447, 378.09150993471576, 0.0, 0.24176666666666702]]"
2026-07-25 06:29:00,56.34586851565364,19.30676814507762,43.5,descending,64331.609040681564,24627.405237554376,0.0,0.0,0.0,"[[856321.8365720161, -3023.3835516136246, 396.5776469904842, -2.784040603879778], [-3023.383551613626, 836922.7102429223, 1.586860005509761, 392.5892775809308], [396.5776469904842, 1.586860005509761, 0.2459333333333337, 0.0], [-2.784040603879778, 392.5892775809308, 0.0, 0.2459333333333337]]"
2026-07-25 06:30:00,56.345871364871165,19.306766013079272,45.0,descending,64331.477131577856,24627.721500699194,0.0,0.0,0.0,"[[905443.5304956903, -3071.253975741316, 411.4250203440128, -2.827131526211667], [-3071.253975741318, 885123.7855454396, 1.6398406198007096, 407.33711259356926], [411.4250203440128, 1.6398406198007096, 0.2501000000000004, 0.0], [-2.827131526211667, 407.33711259356926, 0.0, 0.2501000000000004]]"
2026-07-25 06:31:00,56.34587408271792,19.306761876271743,46.5,descending,64331.22118270513,24628.02318168892,0.0,0.0,0.0,"[[956356.063561832, -3100.721559748476, 426.519471963189, -2.863947663751218], [-3100.7215597484774, 935108.9220733038, 1.694318867716144, 422.33493793636393], [426.519471963189, 1.694318867716144, 0.25426666666666703, 0.0], [-2.863947663751218, 422.33493793636393, 0.0, 0.25426666666666703]]"
2026-07-25 06:32:00,56.345877479242226,19.306755682928348,48.0,descending,64330.837993676105,24628.400195886694,0.0,0.0,0.0,"[[1009056.9663101409, -3098.751311404783, 441.8541610492526, -2.8904492127611574], [-3098.7513114047842, 986896.4535699922, 1.7514907707134244, 437.58018481883676], [441.8541610492526, 1.7514907707134244, 0.2584333333333337, 0.0], [-2.8904492127611574, 437.58018481883676, 0.0, 0.2584333333333337]]"
2026-07-25 06:33:00,56.345881868397946,19.306747435697066,49.5,descending,64330.32772832413,24628.887392171997,0.0,0.0,0.0,"[[1063557.8496779967, -3057.0176934773162, 457.4257751355308, -2.9045294936593957], [-3057.0176934773176, 1040509.76945644, 1.8120412900481169, 453.071581276675], [457.4257751355308, 1.8120412900481169, 0.26260000000000033, 0.0], [-2.9045294936593957, 453.071581276675, 0.0, 0.26260000000000033]]"
2026-07-25 06:34:00,56.345887268397924,19.306737160261868,51.0,descending,64329.69197574501,24629.486792169064,0.0,0.0,0.0,"[[1119880.1013123777, -2970.4940786910015, 473.23329722636544, -2.905326541134524], [-2970.4940786910024, 1095975.8515457348, 1.8762866229031006, 468.8087176952509], [473.23329722636544, 1.8762866229031006, 0.266766666666667, 0.0], [-2.905326541134524, 468.8087176952509, 0.0, 0.266766666666667]]"
2026-07-25 06:35:00,56.345893697408144,19.306724882685558,52.5,descending,64328.932348473514,24630.20041230395,0.0,0.0,0.0,"[[1178044.653459529, -2833.851117895592, 489.2756917317476, -2.8919645033569408], [-2833.851117895593, 1153321.40286481, 1.9445659243459315, 484.7911574163641], [489.2756917317476, 1.9445659243459315, 0.27093333333333364, 0.0], [-2.8919645033569408, 484.7911574163641, 0.0, 0.27093333333333364]]"
2026-07-25 06:36:00,56.34590143444522,19.306710952509302,54.0,descending,64328.0704730092,24631.05922341894,0.0,0.0,0.0,"[[1238076.045825146, -2638.5785155044805, 505.55272230645164, -2.8646060241445945], [-2638.578515504481, 1212574.197880354, 2.0194435457967157, 501.0187081847029], [505.55272230645164, 2.0194435457967157, 0.2751000000000003, 0.0], [-2.8646060241445945, 501.0187081847029, 0.0, 0.2751000000000003]]"
